Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 02:26:23.016000,HUL,0 days 00:01:29.576000,55.0,3.0,HARD,22.0,1,False
0 days 02:27:52.523000,HUL,0 days 00:01:29.507000,56.0,3.0,HARD,23.0,1,False
0 days 02:29:21.960000,HUL,0 days 00:01:29.437000,57.0,3.0,HARD,24.0,1,False
0 days 02:30:51.177000,HUL,0 days 00:01:29.217000,58.0,3.0,HARD,25.0,1,True
0 days 01:04:02.602000,PER,,1.0,1.0,MEDIUM,1.0,1,False
0 days 01:05:34.274000,PER,0 days 00:01:31.672000,2.0,1.0,MEDIUM,2.0,1,True
0 days 01:07:04.743000,PER,0 days 00:01:30.469000,3.0,1.0,MEDIUM,3.0,1,True
0 days 01:08:35.502000,PER,0 days 00:01:30.759000,4.0,1.0,MEDIUM,4.0,1,False
0 days 01:10:06.299000,PER,0 days 00:01:30.797000,5.0,1.0,MEDIUM,5.0,1,False
0 days 01:11:36.981000,PER,0 days 00:01:30.682000,6.0,1.0,MEDIUM,6.0,1,False
0 days 01:13:07.799000,PER,0 days 00:01:30.818000,7.0,1.0,MEDIUM,7.0,1,False
0 days 01:14:38.792000,PER,0 days 00:01:30.993000,8.0,1.0,MEDIUM,8.0,1,False
0 days 01:16:10.079000,PER,0 days 00:01:31.287000,9.0,1.0,MEDIUM,9.0,1,False
0 days 01:17:41.293000,PER,0 days 00:01:31.214000,10.0,1.0,MEDIUM,10.0,1,False
0 days 01:19:12.828000,PER,0 days 00:01:31.535000,11.0,1.0,MEDIUM,11.0,1,False
0 days 01:20:43.702000,PER,0 days 00:01:30.874000,12.0,1.0,MEDIUM,12.0,1,False
0 days 01:22:15.011000,PER,0 days 00:01:31.309000,13.0,1.0,MEDIUM,13.0,1,False
0 days 01:23:46.201000,PER,0 days 00:01:31.190000,14.0,1.0,MEDIUM,14.0,1,False
0 days 01:25:17.426000,PER,0 days 00:01:31.225000,15.0,1.0,MEDIUM,15.0,1,False
0 days 01:26:48.801000,PER,0 days 00:01:31.375000,16.0,1.0,MEDIUM,16.0,1,False
0 days 01:28:22.057000,PER,0 days 00:01:33.256000,17.0,1.0,MEDIUM,17.0,1,False
0 days 01:30:11.088000,PER,0 days 00:01:49.031000,18.0,2.0,HARD,1.0,1,False
0 days 01:31:40.453000,PER,0 days 00:01:29.365000,19.0,2.0,HARD,2.0,1,True
0 days 01:33:09.560000,PER,0 days 00:01:29.107000,20.0,2.0,HARD,3.0,1,True
0 days 01:34:38.546000,PER,0 days 00:01:28.986000,21.0,2.0,HARD,4.0,1,True
0 days 01:36:08.265000,PER,0 days 00:01:29.719000,22.0,2.0,HARD,5.0,1,False
0 days 01:37:37.975000,PER,0 days 00:01:29.710000,23.0,2.0,HARD,6.0,1,False
0 days 01:39:07.976000,PER,0 days 00:01:30.001000,24.0,2.0,HARD,7.0,1,False
0 days 01:40:37.548000,PER,0 days 00:01:29.572000,25.0,2.0,HARD,8.0,1,False
0 days 01:42:07.412000,PER,0 days 00:01:29.864000,26.0,2.0,HARD,9.0,1,False
0 days 01:43:36.752000,PER,0 days 00:01:29.340000,27.0,2.0,HARD,10.0,1,False
0 days 01:45:05.706000,PER,0 days 00:01:28.954000,28.0,2.0,HARD,11.0,1,True
0 days 01:46:35.269000,PER,0 days 00:01:29.563000,29.0,2.0,HARD,12.0,1,False
0 days 01:48:04.749000,PER,0 days 00:01:29.480000,30.0,2.0,HARD,13.0,1,False
0 days 01:49:34.162000,PER,0 days 00:01:29.413000,31.0,2.0,HARD,14.0,1,False
0 days 01:51:03.476000,PER,0 days 00:01:29.314000,32.0,2.0,HARD,15.0,1,False
0 days 01:52:32.737000,PER,0 days 00:01:29.261000,33.0,2.0,HARD,16.0,1,False
0 days 01:54:02.053000,PER,0 days 00:01:29.316000,34.0,2.0,HARD,17.0,1,False
0 days 01:55:31.296000,PER,0 days 00:01:29.243000,35.0,2.0,HARD,18.0,1,False
0 days 01:57:00.224000,PER,0 days 00:01:28.928000,36.0,2.0,HARD,19.0,1,True
0 days 01:58:29.216000,PER,0 days 00:01:28.992000,37.0,2.0,HARD,20.0,1,False
0 days 01:59:58.259000,PER,0 days 00:01:29.043000,38.0,2.0,HARD,21.0,1,False
0 days 02:01:27.389000,PER,0 days 00:01:29.130000,39.0,2.0,HARD,22.0,1,False
0 days 02:02:56.298000,PER,0 days 00:01:28.909000,40.0,2.0,HARD,23.0,1,True
0 days 02:04:25.493000,PER,0 days 00:01:29.195000,41.0,2.0,HARD,24.0,1,False
0 days 02:05:56.451000,PER,0 days 00:01:30.958000,42.0,2.0,HARD,25.0,1,False
0 days 02:07:44.530000,PER,0 days 00:01:48.079000,43.0,3.0,HARD,1.0,1,False
0 days 02:09:12.023000,PER,0 days 00:01:27.493000,44.0,3.0,HARD,2.0,1,True
0 days 02:10:39.860000,PER,0 days 00:01:27.837000,45.0,3.0,HARD,3.0,1,False
0 days 02:12:07.774000,PER,0 days 00:01:27.914000,46.0,3.0,HARD,4.0,1,False
0 days 02:13:36.175000,PER,0 days 00:01:28.401000,47.0,3.0,HARD,5.0,1,False
0 days 02:15:04.145000,PER,0 days 00:01:27.970000,48.0,3.0,HARD,6.0,1,False
0 days 02:16:32.071000,PER,0 days 00:01:27.926000,49.0,3.0,HARD,7.0,1,False
