Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 01:44:33.737000,NOR,0 days 00:01:21.804000,6.0,2.0,HARD,6.0,1,True
0 days 01:45:54.565000,NOR,0 days 00:01:20.828000,7.0,2.0,HARD,7.0,1,True
0 days 01:47:15.385000,NOR,0 days 00:01:20.820000,8.0,2.0,HARD,8.0,1,True
0 days 01:48:35.782000,NOR,0 days 00:01:20.397000,9.0,2.0,HARD,9.0,1,True
0 days 01:49:56.754000,NOR,0 days 00:01:20.972000,10.0,2.0,HARD,10.0,1,False
0 days 01:51:17.624000,NOR,0 days 00:01:20.870000,11.0,2.0,HARD,11.0,1,False
0 days 01:52:37.557000,NOR,0 days 00:01:19.933000,12.0,2.0,HARD,12.0,1,True
0 days 01:53:57.377000,NOR,0 days 00:01:19.820000,13.0,2.0,HARD,13.0,1,True
0 days 01:55:16.762000,NOR,0 days 00:01:19.385000,14.0,2.0,HARD,14.0,1,True
0 days 01:56:36.537000,NOR,0 days 00:01:19.775000,15.0,2.0,HARD,15.0,1,False
0 days 01:57:56.174000,NOR,0 days 00:01:19.637000,16.0,2.0,HARD,16.0,1,False
0 days 01:59:16.511000,NOR,0 days 00:01:20.337000,17.0,2.0,HARD,17.0,1,False
0 days 02:00:35.909000,NOR,0 days 00:01:19.398000,18.0,2.0,HARD,18.0,1,False
0 days 02:01:55.189000,NOR,0 days 00:01:19.280000,19.0,2.0,HARD,19.0,1,True
0 days 02:03:14.232000,NOR,0 days 00:01:19.043000,20.0,2.0,HARD,20.0,1,True
0 days 02:04:33.215000,NOR,0 days 00:01:18.983000,21.0,2.0,HARD,21.0,1,True
0 days 02:05:52.196000,NOR,0 days 00:01:18.981000,22.0,2.0,HARD,22.0,1,True
0 days 02:07:11.390000,NOR,0 days 00:01:19.194000,23.0,2.0,HARD,23.0,1,False
0 days 02:08:30.089000,NOR,0 days 00:01:18.699000,24.0,2.0,HARD,24.0,1,True
0 days 02:09:48.729000,NOR,0 days 00:01:18.640000,25.0,2.0,HARD,25.0,1,True
0 days 02:11:07.125000,NOR,0 days 00:01:18.396000,26.0,2.0,HARD,26.0,1,True
0 days 02:12:25.845000,NOR,0 days 00:01:18.720000,27.0,2.0,HARD,27.0,1,False
0 days 02:13:45.083000,NOR,0 days 00:01:19.238000,28.0,2.0,HARD,28.0,1,False
0 days 02:15:03.849000,NOR,0 days 00:01:18.766000,29.0,2.0,HARD,29.0,1,False
0 days 02:16:22.252000,NOR,0 days 00:01:18.403000,30.0,2.0,HARD,30.0,1,False
0 days 02:17:41.032000,NOR,0 days 00:01:18.780000,31.0,2.0,HARD,31.0,1,False
0 days 02:19:00.570000,NOR,0 days 00:01:19.538000,32.0,2.0,HARD,32.0,1,False
0 days 02:20:19.803000,NOR,0 days 00:01:19.233000,33.0,2.0,HARD,33.0,1,False
0 days 02:21:39.046000,NOR,0 days 00:01:19.243000,34.0,2.0,HARD,34.0,1,False
0 days 02:22:57.760000,NOR,0 days 00:01:18.714000,35.0,2.0,HARD,35.0,1,False
0 days 02:24:16.342000,NOR,0 days 00:01:18.582000,36.0,2.0,HARD,36.0,1,False
0 days 02:25:34.300000,NOR,0 days 00:01:17.958000,37.0,2.0,HARD,37.0,1,True
0 days 02:26:52.294000,NOR,0 days 00:01:17.994000,38.0,2.0,HARD,38.0,1,False
0 days 02:28:10.597000,NOR,0 days 00:01:18.303000,39.0,2.0,HARD,39.0,1,False
0 days 02:29:29.421000,NOR,0 days 00:01:18.824000,40.0,2.0,HARD,40.0,1,False
0 days 02:30:47.940000,NOR,0 days 00:01:18.519000,41.0,2.0,HARD,41.0,1,False
0 days 02:32:07.376000,NOR,0 days 00:01:19.436000,42.0,2.0,HARD,42.0,1,False
0 days 02:33:27.172000,NOR,0 days 00:01:19.796000,43.0,2.0,HARD,43.0,1,False
