Driver,LapNumber,LapTime_Seconds,Compound,TyreLife,Stint,TrackTemp,AirTemp,Race
ZHO,6.0,97.072,MEDIUM,6.0,1.0,31.5,25.5,2024_Saudi_Arabia
ZHO,37.0,95.391,MEDIUM,19.0,3.0,31.6,26.0,2023_Saudi_Arabia
HAM,30.0,78.371,MEDIUM,29.0,2.0,47.25,21.6,2024_Monaco
OCO,11.0,119.014,HARD,1.0,2.0,23.5,18.2,2024_Bahrain
NOR,20.0,98.345,SOFT,6.0,3.0,30.6,27.1,2023_Bahrain
HAM,14.0,94.341,MEDIUM,14.0,1.0,31.5,25.5,2024_Saudi_Arabia
ALO,11.0,71.041,HARD,11.0,2.0,32.0,22.5,2023_Austria
MAG,63.0,79.496,MEDIUM,21.0,4.0,31.75,22.2,2023_Spain
VER,29.0,79.792,MEDIUM,12.0,2.0,41.150000000000006,24.1,2024_Spain
SAR,9.0,100.871,HARD,8.0,2.0,39.0,22.1,2024_Japan
ALB,50.0,101.438,HARD,27.0,3.0,29.9,18.7,2024_China
ZHO,23.0,97.788,HARD,14.0,2.0,23.5,18.2,2024_Bahrain
PER,23.0,97.304,SOFT,8.0,2.0,30.6,27.1,2023_Bahrain
ZHO,12.0,92.863,MEDIUM,12.0,1.0,31.3,26.8,2024_Abu_Dhabi
ALB,32.0,80.148,HARD,31.0,2.0,47.25,21.6,2024_Monaco
SAR,67.0,72.454,MEDIUM,19.0,4.0,46.5,29.5,2024_Austria
HAM,65.0,75.19,HARD,15.0,3.0,47.25,21.6,2024_Monaco
BEA,50.0,92.186,HARD,43.0,2.0,31.5,25.5,2024_Saudi_Arabia
VER,43.0,76.963,MEDIUM,43.0,1.0,39.5,25.3,2023_Monaco
PER,13.0,83.664,MEDIUM,13.0,1.0,38.55,20.7,2024_Australia
STR,22.0,78.548,HARD,23.0,1.0,39.5,25.3,2023_Monaco
GAS,52.0,89.65,HARD,38.0,2.0,31.3,26.8,2024_Abu_Dhabi
GAS,72.0,89.916,INTERMEDIATE,18.0,3.0,39.5,25.3,2023_Monaco
ALO,20.0,70.081,MEDIUM,5.0,3.0,32.0,22.5,2023_Austria
BOT,29.0,85.352,HARD,25.0,2.0,48.650000000000006,29.0,2023_Hungary
GAS,13.0,124.565,HARD,1.0,2.0,23.5,18.2,2024_Bahrain
PIA,3.0,82.669,MEDIUM,3.0,1.0,38.55,20.7,2024_Australia
SAI,10.0,97.608,SOFT,13.0,1.0,23.5,18.2,2024_Bahrain
ALO,32.0,97.871,HARD,18.0,2.0,30.6,27.1,2023_Bahrain
GAS,43.0,77.699,HARD,43.0,1.0,39.5,25.3,2023_Monaco
GAS,39.0,90.797,HARD,7.0,3.0,32.8,26.9,2023_Abu_Dhabi
TSU,13.0,99.471,HARD,3.0,2.0,30.6,27.1,2023_Bahrain
GAS,58.0,89.547,HARD,26.0,3.0,32.8,26.9,2023_Abu_Dhabi
GAS,56.0,101.478,INTERMEDIATE,2.0,3.0,39.5,25.3,2023_Monaco
GAS,34.0,77.207,HARD,34.0,1.0,39.5,25.3,2023_Monaco
BOT,17.0,102.606,HARD,8.0,2.0,29.9,18.7,2024_China
ZHO,38.0,96.857,HARD,10.0,3.0,23.5,18.2,2024_Bahrain
MAG,9.0,81.53,SOFT,9.0,1.0,31.75,22.2,2023_Spain
SAR,13.0,120.228,MEDIUM,1.0,2.0,29.9,18.7,2024_China
NOR,34.0,103.078,INTERMEDIATE,7.0,2.0,25.4,15.9,2024_Britain
DEV,67.0,94.011,INTERMEDIATE,14.0,2.0,39.5,25.3,2023_Monaco
ALB,30.0,92.882,MEDIUM,30.0,1.0,29.8,21.5,2023_Britain
SAI,37.0,145.086,HARD,11.0,2.0,29.8,21.5,2023_Britain
RIC,49.0,84.097,MEDIUM,23.0,3.0,48.650000000000006,29.0,2023_Hungary
TSU,13.0,94.433,SOFT,13.0,1.0,29.8,21.5,2023_Britain
HUL,13.0,83.953,HARD,13.0,1.0,38.55,20.7,2024_Australia
RUS,18.0,85.925,HARD,18.0,1.0,48.650000000000006,29.0,2023_Hungary
SAI,2.0,97.236,SOFT,5.0,1.0,23.5,18.2,2024_Bahrain
ZHO,33.0,85.907,HARD,28.0,2.0,48.650000000000006,29.0,2023_Hungary
STR,11.0,81.517,MEDIUM,11.0,2.0,47.25,21.6,2024_Monaco
SAI,46.0,93.149,HARD,31.0,2.0,31.6,26.0,2023_Saudi_Arabia
RUS,25.0,77.648,HARD,25.0,1.0,39.5,25.3,2023_Monaco
PIA,14.0,94.431,HARD,8.0,2.0,31.5,25.5,2024_Saudi_Arabia
OCO,7.0,83.198,MEDIUM,7.0,1.0,38.55,20.7,2024_Australia
RUS,10.0,82.737,HARD,2.0,2.0,38.55,20.7,2024_Australia
STR,40.0,96.485,HARD,13.0,3.0,23.5,18.2,2024_Bahrain
ZHO,48.0,83.851,HARD,12.0,3.0,45.1,28.9,2024_Hungary
HUL,3.0,81.383,SOFT,3.0,1.0,41.150000000000006,24.1,2024_Spain
ZHO,25.0,85.524,HARD,18.0,2.0,45.1,28.9,2024_Hungary
PER,36.0,99.68,HARD,13.0,3.0,29.9,18.7,2024_China
HAM,38.0,77.167,HARD,7.0,2.0,39.5,25.3,2023_Monaco
ALB,15.0,102.762,MEDIUM,6.0,2.0,29.9,18.7,2024_China
GAS,65.0,79.808,HARD,27.0,3.0,41.150000000000006,24.1,2024_Spain
MAG,9.0,82.195,SOFT,9.0,1.0,41.150000000000006,24.1,2024_Spain
ALO,28.0,98.199,HARD,14.0,2.0,30.6,27.1,2023_Bahrain
ALB,12.0,95.441,HARD,5.0,2.0,31.5,25.5,2024_Saudi_Arabia
RIC,8.0,83.608,HARD,3.0,2.0,38.55,20.7,2024_Australia
ALB,12.0,96.066,MEDIUM,12.0,1.0,31.6,26.0,2023_Saudi_Arabia
NOR,62.0,78.08,SOFT,18.0,3.0,41.150000000000006,24.1,2024_Spain
SAR,38.0,98.811,INTERMEDIATE,11.0,2.0,25.4,15.9,2024_Britain
MAG,16.0,93.486,MEDIUM,16.0,1.0,25.4,15.9,2024_Britain
VER,55.0,130.567,MEDIUM,55.0,1.0,39.5,25.3,2023_Monaco
ALO,46.0,69.25,MEDIUM,2.0,4.0,32.0,22.5,2023_Austria
GAS,9.0,96.549,MEDIUM,9.0,1.0,31.6,26.0,2023_Saudi_Arabia
ZHO,66.0,84.152,HARD,33.0,3.0,48.650000000000006,29.0,2023_Hungary
NOR,38.0,97.999,INTERMEDIATE,11.0,2.0,25.4,15.9,2024_Britain
BOT,25.0,93.292,HARD,25.0,1.0,29.8,21.5,2023_Britain
BOT,8.0,103.45,MEDIUM,8.0,1.0,29.9,18.7,2024_China
PER,59.0,79.193,SOFT,13.0,4.0,41.150000000000006,24.1,2024_Spain
PER,32.0,99.731,HARD,9.0,3.0,29.9,18.7,2024_China
OCO,42.0,77.01,HARD,10.0,2.0,39.5,25.3,2023_Monaco
NOR,44.0,86.696,HARD,27.0,2.0,48.650000000000006,29.0,2023_Hungary
ALB,22.0,90.706,HARD,6.0,2.0,32.8,26.9,2023_Abu_Dhabi
NOR,64.0,98.75,INTERMEDIATE,10.0,3.0,39.5,25.3,2023_Monaco
HAM,4.0,96.263,HARD,4.0,1.0,31.6,26.0,2023_Saudi_Arabia
VER,65.0,82.223,MEDIUM,17.0,3.0,48.650000000000006,29.0,2023_Hungary
OCO,29.0,144.917,HARD,6.0,3.0,29.9,18.7,2024_China
BEA,12.0,94.907,HARD,5.0,2.0,31.5,25.5,2024_Saudi_Arabia
RIC,3.0,115.204,SOFT,3.0,1.0,28.2,17.9,2023_Belgium
TSU,19.0,91.453,MEDIUM,19.0,1.0,32.8,26.9,2023_Abu_Dhabi
HUL,34.0,83.143,MEDIUM,17.0,2.0,38.55,20.7,2024_Australia
HAM,8.0,88.164,HARD,1.0,2.0,38.55,20.7,2024_Australia
SAI,28.0,94.762,HARD,13.0,2.0,31.6,26.0,2023_Saudi_Arabia
HUL,17.0,101.955,HARD,9.0,2.0,29.9,18.7,2024_China
VER,59.0,103.791,INTERMEDIATE,4.0,2.0,39.5,25.3,2023_Monaco
ZHO,61.0,101.501,INTERMEDIATE,9.0,3.0,39.5,25.3,2023_Monaco
HAM,49.0,92.615,SOFT,16.0,2.0,31.5,25.5,2024_Saudi_Arabia
ZHO,21.0,78.245,HARD,20.0,2.0,39.5,25.3,2023_Monaco
RIC,27.0,114.803,MEDIUM,13.0,2.0,29.9,18.7,2024_China
HAM,6.0,70.746,MEDIUM,6.0,2.0,32.0,22.5,2023_Austria
DEV,19.0,127.643,HARD,2.0,2.0,31.6,26.0,2023_Saudi_Arabia
STR,49.0,89.03,MEDIUM,7.0,3.0,32.8,26.9,2023_Abu_Dhabi
RIC,12.0,92.797,MEDIUM,12.0,1.0,25.4,15.9,2024_Britain
LEC,51.0,77.79,HARD,50.0,2.0,47.25,21.6,2024_Monaco
MAG,13.0,80.886,HARD,13.0,1.0,39.5,25.3,2023_Monaco
PER,42.0,79.072,MEDIUM,11.0,3.0,41.150000000000006,24.1,2024_Spain
HAM,52.0,87.799,MEDIUM,19.0,2.0,31.3,26.8,2024_Abu_Dhabi
HAM,41.0,88.653,MEDIUM,8.0,2.0,31.3,26.8,2024_Abu_Dhabi
BOT,56.0,100.028,INTERMEDIATE,5.0,2.0,39.5,25.3,2023_Monaco
